,id_usuario,id_videojuego,fecha v,cantidad,veredicto,titulo,texto
0,9,15,2021-05-13 00:00:00,0.75,,,
1,9,16,2020-06-10 00:00:00,1.5,,,
2,9,37,2021-02-04 00:00:00,4.25,,,
3,9,43,2021-06-28 00:00:00,52.0,,,
4,9,71,2021-01-20 00:00:00,1.75,,,
5,9,73,2020-11-05 00:00:00,0.75,,,
6,9,124,2021-11-03 00:00:00,4.0,,,
7,9,126,2021-05-15 00:00:00,308.0,negativo,Muy Malo,Este juego viene directamente de Mordor
8,9,126,2021-05-29 00:00:00,10.5,,,
9,9,128,2020-10-04 00:00:00,3.75,,,
10,9,132,2021-01-23 00:00:00,24.0,,,
11,9,247,2021-09-27 00:00:00,3.25,,,
12,9,327,2020-03-18 00:00:00,4.0,,,
13,9,343,2021-05-16 00:00:00,2.25,,,
14,9,358,2021-07-02 00:00:00,0.25,,,
15,9,427,2021-08-07 00:00:00,4.25,,,
16,9,472,2020-05-27 00:00:00,24.0,,,
17,9,501,2021-01-16 00:00:00,60.0,,,
18,9,533,2020-04-15 00:00:00,48.0,,,
19,9,537,2021-07-05 00:00:00,1.75,,,
20,9,538,2021-02-10 00:00:00,5.0,,,
21,9,545,2021-01-04 00:00:00,0.75,,,
22,9,622,2020-03-18 00:00:00,52.0,,,
23,9,673,2021-10-30 00:00:00,16.0,,,
24,9,730,2021-04-14 00:00:00,48.0,,,
25,9,1011,2021-01-16 00:00:00,5.0,,,
26,9,1262,2021-12-22 00:00:00,0.75,,,
27,9,1266,2020-05-18 00:00:00,100.0,,,
28,9,1331,2021-09-15 00:00:00,4.75,,,
29,9,1871,2021-05-07 00:00:00,1.25,,,
30,9,1887,2020-05-05 00:00:00,48.0,,,
31,9,1942,2020-07-04 00:00:00,0.0,,,
32,9,1970,2021-07-10 00:00:00,3.75,,,
33,9,6036,2020-06-12 00:00:00,73.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Nooo el juego
34,9,6036,2020-06-26 00:00:00,4.0,,,
35,9,7346,2021-09-07 00:00:00,0.5,,,
